Week,netflix: (France)
2017-02-12,20
2017-02-19,19
2017-02-26,18
2017-03-05,17
2017-03-12,16
2017-03-19,19
2017-03-26,17
2017-04-02,20
2017-04-09,20
2017-04-16,22
2017-04-23,19
2017-04-30,21
2017-05-07,21
2017-05-14,20
2017-05-21,18
2017-05-28,17
2017-06-04,20
2017-06-11,19
2017-06-18,19
2017-06-25,23
2017-07-02,21
2017-07-09,23
2017-07-16,24
2017-07-23,26
2017-07-30,27
2017-08-06,29
2017-08-13,28
2017-08-20,31
2017-08-27,29
2017-09-03,28
2017-09-10,27
2017-09-17,25
2017-09-24,26
2017-10-01,27
2017-10-08,26
2017-10-15,28
2017-10-22,35
2017-10-29,38
2017-11-05,31
2017-11-12,33
2017-11-19,31
2017-11-26,30
2017-12-03,29
2017-12-10,27
2017-12-17,32
2017-12-24,44
2017-12-31,45
2018-01-07,37
2018-01-14,34
2018-01-21,40
2018-01-28,37
2018-02-04,40
2018-02-11,41
2018-02-18,41
2018-02-25,42
2018-03-04,39
2018-03-11,37
2018-03-18,35
2018-03-25,34
2018-04-01,40
2018-04-08,38
2018-04-15,39
2018-04-22,39
2018-04-29,41
2018-05-06,38
2018-05-13,39
2018-05-20,41
2018-05-27,37
2018-06-03,35
2018-06-10,36
2018-06-17,34
2018-06-24,32
2018-07-01,32
2018-07-08,31
2018-07-15,35
2018-07-22,40
2018-07-29,42
2018-08-05,39
2018-08-12,45
2018-08-19,45
2018-08-26,47
2018-09-02,40
2018-09-09,37
2018-09-16,37
2018-09-23,37
2018-09-30,37
2018-10-07,42
2018-10-14,40
2018-10-21,46
2018-10-28,51
2018-11-04,40
2018-11-11,41
2018-11-18,42
2018-11-25,40
2018-12-02,42
2018-12-09,44
2018-12-16,49
2018-12-23,70
2018-12-30,71
2019-01-06,55
2019-01-13,52
2019-01-20,49
2019-01-27,51
2019-02-03,48
2019-02-10,47
2019-02-17,48
2019-02-24,43
2019-03-03,43
2019-03-10,42
2019-03-17,41
2019-03-24,38
2019-03-31,38
2019-04-07,40
2019-04-14,40
2019-04-21,43
2019-04-28,44
2019-05-05,42
2019-05-12,39
2019-05-19,39
2019-05-26,41
2019-06-02,38
2019-06-09,46
2019-06-16,41
2019-06-23,40
2019-06-30,42
2019-07-07,43
2019-07-14,47
2019-07-21,51
2019-07-28,51
2019-08-04,46
2019-08-11,52
2019-08-18,50
2019-08-25,49
2019-09-01,46
2019-09-08,45
2019-09-15,45
2019-09-22,45
2019-09-29,42
2019-10-06,43
2019-10-13,50
2019-10-20,53
2019-10-27,54
2019-11-03,46
2019-11-10,50
2019-11-17,47
2019-11-24,46
2019-12-01,46
2019-12-08,43
2019-12-15,49
2019-12-22,66
2019-12-29,68
2020-01-05,53
2020-01-12,48
2020-01-19,50
2020-01-26,47
2020-02-02,49
2020-02-09,48
2020-02-16,50
2020-02-23,47
2020-03-01,47
2020-03-08,44
2020-03-15,81
2020-03-22,89
2020-03-29,100
2020-04-05,83
2020-04-12,85
2020-04-19,81
2020-04-26,78
2020-05-03,66
2020-05-10,59
2020-05-17,56
2020-05-24,48
2020-05-31,51
2020-06-07,53
2020-06-14,51
2020-06-21,52
2020-06-28,52
2020-07-05,52
2020-07-12,54
2020-07-19,50
2020-07-26,52
2020-08-02,49
2020-08-09,50
2020-08-16,53
2020-08-23,51
2020-08-30,46
2020-09-06,44
2020-09-13,45
2020-09-20,50
2020-09-27,46
2020-10-04,48
2020-10-11,48
2020-10-18,60
2020-10-25,64
2020-11-01,58
2020-11-08,60
2020-11-15,56
2020-11-22,53
2020-11-29,49
2020-12-06,51
2020-12-13,54
2020-12-20,68
2020-12-27,79
2021-01-03,62
2021-01-10,63
2021-01-17,63
2021-01-24,60
2021-01-31,57
2021-02-07,58
2021-02-14,58
2021-02-21,58
2021-02-28,55
2021-03-07,50
2021-03-14,49
2021-03-21,49
2021-03-28,48
2021-04-04,57
2021-04-11,58
2021-04-18,53
2021-04-25,52
2021-05-02,45
2021-05-09,53
2021-05-16,45
2021-05-23,45
2021-05-30,41
2021-06-06,40
2021-06-13,38
2021-06-20,42
2021-06-27,42
2021-07-04,44
2021-07-11,47
2021-07-18,44
2021-07-25,46
2021-08-01,45
2021-08-08,45
2021-08-15,49
2021-08-22,50
2021-08-29,46
2021-09-05,42
2021-09-12,42
2021-09-19,45
2021-09-26,51
2021-10-03,41
2021-10-10,37
2021-10-17,38
2021-10-24,41
2021-10-31,45
2021-11-07,41
2021-11-14,37
2021-11-21,34
2021-11-28,37
2021-12-05,34
2021-12-12,36
2021-12-19,47
2021-12-26,56
2022-01-02,43
2022-01-09,42
2022-01-16,41
2022-01-23,42
2022-01-30,38
